1#99#71#99#80#99#2019-01-17#99#78.16
2#99#289#99#8#99#2019-02-18#99#3.00
3#99#58#99#237#99#2019-01-03#99#106.40
4#99#59#99#238#99#2019-01-03#99#1.84
5#99#190#99#365#99#2019-01-15#99#41.82
6#99#699#99#257#99#2019-02-23#99#310.87
7#99#629#99#3#99#2019-02-18#99#0.06
8#99#805#99#955#99#2019-03-06#99#14201.00
9#99#852#99#153#99#2019-02-20#99#27532.78
10#99#203#99#381#99#2019-01-22#99#800.00
11#99#75#99#291#99#2019-01-07#99#385.00
12#99#1270#99#364#99#2019-03-06#99#330308.16
13#99#1146#99#615#99#2019-03-06#99#353.58
14#99#1274#99#259#99#2019-03-06#99#0.01
15#99#546#99#791#99#2019-02-05#99#197.80
16#99#764#99#998#99#2019-02-15#99#12.80
17#99#544#99#789#99#2019-02-05#99#4.00
18#99#488#99#740#99#2019-01-31#99#62.00
19#99#1535#99#281#99#2019-03-10#99#94.20
20#99#1486#99#279#99#2019-03-10#99#175.84
21#99#1485#99#279#99#2019-03-10#99#193.01
22#99#1311#99#150#99#2019-03-11#99#6240.00
23#99#718#99#937#99#2019-02-12#99#51.40
24#99#1123#99#260#99#2019-03-16#99#435.00
25#99#1802#99#1248#99#2019-03-30#99#15659.29
26#99#1908#99#271#99#2019-03-20#99#478.28
27#99#1865#99#279#99#2019-03-20#99#185.29
28#99#1864#99#279#99#2019-03-20#99#180.55
29#99#1703#99#73#99#2019-03-20#99#110.45
30#99#1935#99#273#99#2019-04-10#99#122.61
31#99#2092#99#280#99#2019-04-10#99#540.99
32#99#1915#99#1480#99#2019-03-20#99#5.20
33#99#1833#99#1440#99#2019-03-26#99#2024.95
34#99#2197#99#282#99#2019-04-10#99#118.51
35#99#2171#99#273#99#2019-04-10#99#139.45
36#99#912#99#1045#99#2019-02-21#99#251.06
37#99#1434#99#1342#99#2019-03-08#99#107.20
38#99#1141#99#1236#99#2019-02-28#99#1205.16
39#99#2757#99#151#99#2019-04-10#99#46.23
40#99#2740#99#1922#99#2019-04-10#99#91.00
41#99#1978#99#1515#99#2019-03-21#99#63.60
42#99#2166#99#1574#99#2019-03-25#99#156.40
43#99#1183#99#1268#99#2019-03-01#99#750.00
44#99#3176#99#19#99#2019-04-20#99#386.40
45#99#3178#99#25#99#2019-04-20#99#240.30
46#99#3173#99#322#99#2019-04-20#99#0.05
47#99#3203#99#606#99#2019-04-22#99#26.21
48#99#3386#99#283#99#2019-04-30#99#99.95
49#99#3725#99#261#99#2019-04-29#99#203.16
50#99#3792#99#1229#99#2019-05-18#99#12023.58
51#99#1820#99#1437#99#2019-03-18#99#951.25
52#99#3969#99#273#99#2019-05-10#99#335.47
53#99#3986#99#280#99#2019-05-10#99#297.00
54#99#3921#99#2012#99#2019-05-06#99#1402.00
55#99#3289#99#2058#99#2019-04-22#99#544.37
56#99#2618#99#796#99#2019-04-07#99#2570.00
57#99#2685#99#1894#99#2019-04-08#99#321.05
58#99#4039#99#283#99#2019-05-10#99#807.76
59#99#4113#99#2370#99#2019-05-09#99#1563.99
60#99#4190#99#80#99#2019-05-10#99#0.01
61#99#2172#99#1578#99#2019-03-26#99#321.31
62#99#1977#99#1514#99#2019-03-21#99#120.00
63#99#2682#99#1891#99#2019-04-08#99#1000.00
64#99#2684#99#1893#99#2019-04-08#99#177.30
65#99#4212#99#1207#99#2019-05-20#99#977.99
66#99#1433#99#1341#99#2019-03-08#99#271.01
67#99#4294#99#37#99#2019-05-25#99#0.03
68#99#3318#99#2068#99#2019-04-23#99#1.70
69#99#3820#99#2274#99#2019-05-02#99#201.43
70#99#4496#99#355#99#2019-05-21#99#102.03
71#99#4497#99#356#99#2019-05-21#99#180.33
72#99#4498#99#357#99#2019-05-21#99#161.40
73#99#4499#99#358#99#2019-05-21#99#17.80
74#99#4145#99#2384#99#2019-05-09#99#63.10
75#99#2410#99#912#99#2019-04-09#99#19244.09
76#99#2584#99#1836#99#2019-04-03#99#480.71
77#99#4840#99#2669#99#2019-05-31#99#3782.31
78#99#5036#99#2377#99#2019-06-04#99#900.00
79#99#3290#99#2059#99#2019-04-22#99#719.50
81#99#5146#99#2786#99#2019-06-07#99#2.39
82#99#5333#99#276#99#2019-06-10#99#282.60
83#99#5439#99#2247#99#2019-06-10#99#14.74
84#99#5401#99#2247#99#2019-06-10#99#42.86
85#99#3879#99#2303#99#2019-05-03#99#383.08
86#99#4318#99#2505#99#2019-05-15#99#78.23
87#99#5024#99#2732#99#2019-05-30#99#14.90
88#99#4089#99#2360#99#2019-05-08#99#293.10
89#99#5598#99#151#99#2019-06-10#99#7730.91
90#99#3945#99#2318#99#2019-05-20#99#0.01
91#99#5025#99#2734#99#2019-05-30#99#44.20
92#99#4494#99#2553#99#2019-05-21#99#11.50
93#99#5673#99#962#99#2019-06-12#99#541.83
