20802#99#1#99#89#99#450.00
5216983#99#14#99#73#99#158350.12
53430426#99#15#99#17#99#442.08
53430427#99#16#99#2#99#19.40
53430428#99#17#99#8#99#66.28
53597809#99#18#99#4#99#64.76
53597810#99#19#99#4#99#86.52
51899947#99#20#99#4#99#71485.60
53478298#99#21#99#5#99#2397.78
53478299#99#22#99#11#99#474.50
53524758#99#23#99#8#99#394.69
53524759#99#24#99#4#99#82.72
53428237#99#25#99#4#99#320.48
53428238#99#26#99#8#99#42.17
53428240#99#27#99#4#99#26.51
53428239#99#28#99#13#99#1203.58
53428241#99#29#99#4#99#58.70
53573508#99#30#99#10#99#64.69
53573509#99#31#99#3#99#921.06
53573510#99#32#99#4#99#62.47
53573513#99#33#99#4#99#17.66
53573512#99#34#99#4#99#157.93
53573511#99#35#99#4#99#47.76
53557306#99#36#99#7#99#1972.79
53234568#99#37#99#4#99#64.72
53090134#99#38#99#13#99#284.50
53010569#99#39#99#14#99#322.56
53430425#99#40#99#5#99#676.78
53562368#99#41#99#4#99#145.12
15746#99#42#99#4#99#51891.24
53723453#99#42#99#4#99#64.12
1#99#43#99#137#99#60.00
16304#99#43#99#137#99#25282.60
1469037155861#99#45#99#68#99#45.27
15746#99#45#99#68#99#13711.10
15746#99#46#99#187#99#22570.58
250952658042#99#46#99#187#99#6.42
16304#99#47#99#188#99#16975.46
250952658042#99#47#99#188#99#0.42
250952658042#99#48#99#189#99#3.05
54159528#99#51#99#16#99#134.58
54159527#99#52#99#7#99#236.70
12549#99#53#99#8#99#75.82
54293546#99#53#99#8#99#64.70
54215197#99#54#99#4#99#49.33
3603#99#57#99#236#99#1136.00
1645#99#61#99#240#99#399.00
9771#99#62#99#241#99#3600.00
1646#99#63#99#242#99#883.00
3584#99#63#99#242#99#7.25
1646#99#64#99#243#99#883.00
3584#99#64#99#243#99#7.25
3352#99#65#99#245#99#47.50
47#99#66#99#246#99#2852.00
14597#99#67#99#247#99#122.40
1445#99#68#99#248#99#1061.75
1445#99#69#99#249#99#637.05
1445#99#70#99#250#99#1061.75
1445#99#71#99#80#99#212.35
6203278479#99#71#99#80#99#16.83
1445#99#72#99#80#99#212.35
6203278479#99#72#99#80#99#16.83
1445#99#73#99#80#99#849.40
6203278207#99#73#99#80#99#188.86
1486#99#74#99#80#99#128.00
3583458127#99#74#99#80#99#154.51
385#99#75#99#291#99#1200.00
6958#99#76#99#292#99#154.00
217#99#77#99#293#99#490.00
1#99#78#99#252#99#281.70
482#99#78#99#252#99#740.00
2566#99#79#99#298#99#690.00
6642#99#80#99#299#99#61.00
5773#99#81#99#300#99#318.23
705#99#82#99#301#99#102.00
431#99#83#99#302#99#2416.66
12891#99#84#99#303#99#53.90
18169#99#85#99#304#99#61600.00
18169#99#86#99#305#99#8948.33
18169#99#87#99#306#99#720.00
275339#99#88#99#307#99#3058.00
489#99#89#99#308#99#23888.95
1439706#99#90#99#309#99#15.25
1439706#99#91#99#310#99#15.25
1439706#99#92#99#311#99#13.45
1797#99#93#99#312#99#224.52
7055#99#94#99#313#99#185.20
58196#99#95#99#314#99#151.06
58199#99#96#99#315#99#1142.40
2357#99#97#99#317#99#624.00
19560#99#98#99#318#99#528.25
1#99#99#99#150#99#5865.00
19562#99#99#99#150#99#138.50
338#99#100#99#320#99#880.00
340#99#101#99#129#99#880.00
1#99#102#99#151#99#7607.63
1810070#99#102#99#151#99#9607.50
1814659#99#103#99#196#99#5764.50
15247#99#104#99#336#99#134.20
1#99#106#99#319#99#1600.00
2265#99#107#99#349#99#516.00
1#99#108#99#350#99#9803.59
234031#99#108#99#350#99#19864.90
234031#99#109#99#347#99#9571.27
90543261#99#109#99#347#99#15000.00
234031#99#110#99#348#99#5417.70
90543261#99#110#99#348#99#7499.99
1469037159631#99#111#99#55#99#27.13
234031#99#111#99#55#99#5598.29
1469093130251#99#112#99#55#99#47.30
1468037173371#99#113#99#72#99#47.30
1469084460371#99#114#99#67#99#47.30
22380#99#114#99#67#99#320.07
1468037152601#99#115#99#59#99#47.30
22380#99#115#99#59#99#27.22
1469037184691#99#116#99#65#99#47.30
22380#99#116#99#65#99#204.73
1469071905081#99#117#99#60#99#47.30
22380#99#117#99#60#99#17.41
1469052319831#99#118#99#65#99#284.88
22380#99#118#99#65#99#204.73
1469047608791#99#119#99#55#99#27.13
594#99#119#99#55#99#141.51
1469037193831#99#120#99#67#99#445.28
595#99#120#99#67#99#447.37
1469037193841#99#121#99#68#99#101.06
596#99#121#99#68#99#244.03
1469077122511#99#122#99#55#99#27.13
600#99#122#99#55#99#419.34
1298#99#123#99#71#99#1182.00
1469062021101#99#123#99#71#99#47.30
1469077254821#99#124#99#55#99#47.30
11102#99#125#99#59#99#4.05
1469077833461#99#125#99#59#99#47.30
1469037196951#99#126#99#66#99#249.87
11103#99#127#99#52#99#24.16
1469075876271#99#127#99#52#99#63.42
1298#99#128#99#51#99#338.00
1469047424411#99#128#99#51#99#47.30
1469073665641#99#129#99#72#99#47.30
947#99#129#99#72#99#180.76
1469037183521#99#131#99#70#99#47.30
1469037184041#99#132#99#60#99#183.80
1469080200431#99#133#99#60#99#47.30
1469044482211#99#134#99#65#99#761.50
1469065900011#99#135#99#55#99#27.13
1469037164851#99#136#99#55#99#47.30
1469037163201#99#137#99#68#99#47.30
1469037160831#99#138#99#59#99#47.30
1469043185551#99#139#99#52#99#363.67
1469037157591#99#140#99#63#99#47.30
1469037155941#99#141#99#68#99#68.80
1469037159451#99#142#99#72#99#47.30
1469046386991#99#143#99#59#99#47.30
1469037155071#99#144#99#52#99#47.30
1469037158631#99#145#99#55#99#95.68
1469037157091#99#146#99#60#99#47.30
1469037157081#99#147#99#60#99#47.30
1469037159551#99#148#99#52#99#47.30
1469079465061#99#149#99#55#99#27.13
1469037155911#99#150#99#66#99#162.33
1469037168241#99#151#99#58#99#276.13
1469037204801#99#152#99#65#99#109.32
1469037205521#99#153#99#55#99#47.30
1469037204821#99#154#99#60#99#258.62
40777770#99#155#99#8#99#68.79
1469037154331#99#156#99#55#99#47.30
1469037154381#99#157#99#55#99#27.13
