1#99#89#99#24694.98#99#2019-01-03
2#99#90#99#7358.60#99#2019-01-03
3#99#91#99#10648.05#99#2019-01-03
4#99#112#99#11636.75#99#2019-01-03
5#99#113#99#7964.16#99#2019-01-03
6#99#114#99#108011.62#99#2019-01-04
7#99#126#99#54964.86#99#2019-01-04
8#99#127#99#14840.52#99#2019-01-04
9#99#128#99#1043.46#99#2019-01-04
10#99#115#99#2607.87#99#2019-01-04
11#99#85#99#300.00#99#2019-01-10
12#99#86#99#300.00#99#2019-01-10
13#99#87#99#300.00#99#2019-01-10
14#99#73#99#158350.12#99#2019-01-20
15#99#17#99#442.08#99#2019-01-18
16#99#2#99#19.40#99#2019-01-18
17#99#8#99#66.28#99#2019-01-18
18#99#4#99#64.76#99#2019-01-18
19#99#4#99#86.52#99#2019-01-18
20#99#4#99#71485.60#99#2019-01-18
21#99#5#99#2397.78#99#2019-01-18
22#99#11#99#474.50#99#2019-01-18
23#99#8#99#394.69#99#2019-01-18
24#99#4#99#82.72#99#2019-01-18
25#99#4#99#320.48#99#2019-01-18
26#99#8#99#42.17#99#2019-01-18
27#99#4#99#26.51#99#2019-01-18
28#99#13#99#1203.58#99#2019-01-18
29#99#4#99#58.70#99#2019-01-18
30#99#10#99#64.69#99#2019-01-18
31#99#3#99#921.06#99#2019-01-18
32#99#4#99#62.47#99#2019-01-18
33#99#4#99#17.66#99#2019-01-18
34#99#4#99#157.93#99#2019-01-18
35#99#4#99#47.76#99#2019-01-18
36#99#7#99#1972.79#99#2019-01-18
37#99#4#99#64.72#99#2019-01-18
38#99#13#99#284.50#99#2019-01-18
39#99#14#99#322.56#99#2019-01-18
40#99#5#99#676.78#99#2019-01-18
41#99#4#99#145.12#99#2019-01-18
42#99#4#99#64.12#99#2019-02-05
43#99#137#99#60.00#99#2019-01-10
44#99#154#99#107561.14#99#2019-01-30
45#99#68#99#45.27#99#2019-01-11
46#99#187#99#6.42#99#2019-01-11
47#99#188#99#0.42#99#2019-01-11
48#99#189#99#3.05#99#2019-01-11
49#99#199#99#30.45#99#2019-01-02
50#99#204#99#0.43#99#2019-01-18
51#99#16#99#134.58#99#2019-02-05
52#99#7#99#236.70#99#2019-02-05
53#99#8#99#64.70#99#2019-02-05
54#99#4#99#49.33#99#2019-02-05
55#99#152#99#7181.95#99#2019-01-31
56#99#235#99#135.00#99#2019-01-03
57#99#236#99#79.20#99#2019-01-03
58#99#237#99#600.00#99#2019-01-03
59#99#238#99#1000.00#99#2019-01-03
60#99#239#99#225.00#99#2019-01-03
61#99#240#99#225.00#99#2019-01-03
62#99#241#99#270.00#99#2019-01-03
63#99#242#99#337.50#99#2019-01-03
64#99#243#99#225.00#99#2019-01-03
65#99#245#99#360.00#99#2019-01-03
66#99#246#99#337.50#99#2019-01-03
67#99#247#99#360.00#99#2019-01-03
68#99#248#99#67.50#99#2019-01-03
69#99#249#99#225.00#99#2019-01-03
70#99#250#99#157.50#99#2019-01-03
71#99#80#99#78.16#99#2019-01-17
72#99#80#99#16.83#99#2019-01-17
73#99#80#99#188.86#99#2019-01-17
74#99#80#99#154.51#99#2019-01-17
75#99#291#99#1000.00#99#2019-01-07
76#99#292#99#8180.09#99#2019-01-22
