1#99#11130311000000#99#730000.00
2#99#11130341000000#99#15000.00
3#99#11180111000000#99#5775000.00
4#99#11180112000000#99#44000.00
5#99#11180113000000#99#1441000.00
6#99#11180114000000#99#224000.00
7#99#11180141000000#99#1250000.00
8#99#11180231000000#99#3250000.00
9#99#11180232000000#99#17000.00
10#99#11180233000000#99#381000.00
11#99#11180234000000#99#17000.00
12#99#11190111000000#99#10000.00
13#99#11190112000000#99#5000.00
14#99#11190113000000#99#40000.00
15#99#11190114000000#99#5000.00
16#99#11210110000001#99#160000.00
17#99#11210110000002#99#5000.00
18#99#11210110000003#99#80000.00
19#99#11210110000004#99#20000.00
20#99#11210111000000#99#12500.00
21#99#11210112000000#99#2500.00
22#99#11210113000000#99#2500.00
23#99#11210114000000#99#2500.00
24#99#11210221000000#99#840000.00
25#99#11220111000000#99#840000.00
26#99#11300012000000#99#5000.00
27#99#11300013000000#99#5000.00
28#99#11300014000000#99#5000.00
29#99#11380211000000#99#67500.00
30#99#11380411000000#99#67500.00
31#99#13100111000000#99#5000.00
32#99#13210011000001#99#120000.00
33#99#13210011000002#99#50000.00
34#99#13210011000003#99#5000.00
35#99#13210011000004#99#5000.00
36#99#13210011000005#99#5000.00
37#99#13210011000006#99#5000.00
38#99#13210011000007#99#10000.00
39#99#13210021000000#99#200000.00
40#99#13220011000000#99#5000.00
41#99#13399911000000#99#680000.00
42#99#13900011000000#99#56000.00
43#99#17180121000000#99#23400000.00
44#99#17180131000000#99#810000.00
45#99#17180141000000#99#640000.00
46#99#17180151000000#99#280000.00
47#99#17180221000000#99#90000.00
48#99#17180261000000#99#280000.00
49#99#17180311000001#99#160000.00
50#99#17180311000003#99#1170000.00
51#99#17180311000004#99#175000.00
52#99#17180311000005#99#200000.00
53#99#17180311000006#99#1100000.00
54#99#17180311000007#99#40000.00
55#99#17180411000001#99#90000.00
56#99#17180411000002#99#78000.00
57#99#17180411000003#99#78000.00
58#99#17180411000004#99#215000.00
59#99#17180411000005#99#40000.00
60#99#17180411000006#99#60000.00
61#99#17180411000007#99#5000.00
62#99#17180411000008#99#10000.00
63#99#17180511000000#99#1760000.00
64#99#17180521000000#99#15000.00
65#99#17180531000001#99#260000.00
66#99#17180531000002#99#110000.00
67#99#17180531000003#99#95000.00
68#99#17180531000004#99#105000.00
69#99#17180531000005#99#16000.00
70#99#17180541000000#99#25000.00
71#99#17180591000000#99#175000.00
72#99#17180611000000#99#140000.00
73#99#17280111000000#99#24800000.00
74#99#17280121000000#99#5250000.00
75#99#17280131000000#99#230000.00
76#99#17280141000000#99#130000.00
77#99#17280231000000#99#90000.00
78#99#17280311000001#99#40000.00
79#99#17280311000002#99#15000.00
80#99#17281021000001#99#430000.00
81#99#17281021000002#99#600000.00
82#99#17281091000001#99#135000.00
83#99#17281091000002#99#24000.00
84#99#17281091000003#99#30000.00
85#99#17580111000001#99#9500000.00
86#99#17580111000002#99#2800000.00
87#99#19100111000000#99#230000.00
88#99#19210311000000#99#15000.00
89#99#19219911000000#99#30000.00
90#99#19229911000000#99#50000.00
91#99#19909911000000#99#50000.00
92#99#21180151000001#99#400000.00
93#99#22130011000000#99#25000.00
94#99#24189911000002#99#100000.00
95#99#24281051000001#99#184000.00
